127.0.0.1 - - [09/Sep/2019:00:03:16 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:17 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:17 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:17 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:17 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:41 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2559
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:49 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 227
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:49 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:51 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:03:54 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2992
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:18 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:36 +0900] "GET /BBS/logoutAction.jsp HTTP/1.1" 200 235
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:36 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1817
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:39 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 3469
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:50 +0900] "POST /BBS/joinAction.jsp HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:50 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:52 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:04:54 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:03 +0900] "GET /BBS/index.jsp HTTP/1.1" 200 218
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:03 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 1761
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:09 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:14 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2734
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:37 +0900] "POST /BBS/writeAction.jsp HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:37 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4928
0:0:0:0:0:0:0:1 - - [09/Sep/2019:00:10:38 +0900] "GET /BBS/view.jsp?bbsID=12 HTTP/1.1" 200 3047
0:0:0:0:0:0:0:1 - - [09/Sep/2019:01:39:18 +0900] "GET /BBS/view.jsp?bbsID=11 HTTP/1.1" 200 2872
0:0:0:0:0:0:0:1 - - [09/Sep/2019:01:39:18 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 200 146010
0:0:0:0:0:0:0:1 - - [09/Sep/2019:01:39:18 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 200 69707
